id;IQR;minfun;class
i1;0.075122;0.015702;male
i2;0.073252;0.015826;male
i3;0.123207;0.015656;male
i4;0.111374;0.017798;male
i5;0.127325;0.016931;male
i6;0.141634;0.017112;male
i7;0.112819;0.02623;male
i8;0.12143;0.017758;male
i9;0.120381;0.017957;male
i10;0.126377;0.0193;male
i11;0.11531;0.022069;male
i12;0.115426;0.019139;male
i13;0.126082;0.016789;male
i14;0.100693;0.025;male
i15;0.111004;0.020833;male
i16;0.112677;0.018328;male
i17;0.112076;0.017544;male
i18;0.121227;0.015671;male
i19;0.124068;0.015717;male
i20;0.120554;0.015702;male
i21;0.125298;0.015764;male
i22;0.125502;0.016145;male
i23;0.113519;0.015686;male
i24;0.126137;0.015702;male
i25;0.116319;0.016097;male
i26;0.121777;0.01564;male
i27;0.121843;0.016211;male
i28;0.122515;0.015842;male
i29;0.117826;0.016244;male
i30;0.122936;0.017039;male
i31;0.121634;0.01626;male
i32;0.123002;0.017279;male
i33;0.125469;0.016563;male
i34;0.123529;0.016754;male
i35;0.125138;0.016343;male
i36;0.117972;0.018412;male
i37;0.073505;0.016615;male
i38;0.119562;0.121212;male
i39;0.072689;0.016771;male
i40;0.117076;0.016162;male
i41;0.114911;0.015842;male
i42;0.116246;0.015936;male
i43;0.112736;0.01564;male
i44;0.112427;0.01592;male
i45;0.112082;0.016;male
i46;0.105475;0.01581;male
i47;0.113372;0.016064;male
i48;0.116804;0.016277;male
i49;0.114745;0.015779;male
i50;0.11417;0.016211;male
i51;0.117357;0.018735;male
i52;0.112716;0.017241;male
i53;0.11047;0.021798;male
i54;0.111452;0.026711;male
i55;0.11704;0.02473;male
i56;0.123988;0.015671;male
i57;0.117007;0.021277;male
i58;0.18461;0.020356;male
i59;0.178856;0.060837;male
i60;0.100261;0.015936;male
i61;0.144108;0.02439;male
i62;0.109504;0.033333;male
i63;0.136423;0.027257;male
i64;0.144821;0.015686;male
i65;0.137113;0.016529;male
i66;0.130093;0.054054;male
i67;0.12509;0.018868;male
i68;0.04525;0.016032;male
i69;0.06189;0.015952;male
i70;0.070208;0.016162;male
i71;0.075272;0.01854;male
i72;0.107923;0.026187;male
i73;0.11318;0.020833;male
i74;0.050866;0.015764;male
i75;0.11208;0.016667;male
i76;0.063685;0.021136;male
i77;0.104587;0.016684;male
i78;0.07545;0.018519;male
i79;0.076879;0.020101;male
i80;0.066824;0.0199;male
i81;0.104778;0.025078;male
i82;0.056886;0.0199;male
i83;0.092313;0.018141;male
i84;0.095566;0.015717;male
i85;0.085274;0.01581;male
i86;0.075504;0.016244;male
i87;0.093493;0.015733;male
i88;0.09417;0.015671;male
i89;0.088632;0.01626;male
i90;0.07183;0.016145;male
i91;0.081085;0.01768;male
i92;0.081906;0.017897;male
i93;0.094526;0.015795;male
i94;0.150088;0.01564;male
i95;0.165478;0.016129;male
i96;0.163778;0.016;male
i97;0.154566;0.01636;male
i98;0.12135;0.01581;male
i99;0.122574;0.016615;male
i100;0.155576;0.016393;male
i101;0.132473;0.015795;male
i102;0.177862;0.015795;male
i103;0.147641;0.017602;male
i104;0.118163;0.01741;male
i105;0.115332;0.015656;male
i106;0.112392;0.0199;male
i107;0.11017;0.016495;male
i108;0.125089;0.01766;male
i109;0.104439;0.017076;male
i110;0.121267;0.026667;male
i111;0.108968;0.017429;male
i112;0.124111;0.018433;male
i113;0.114214;0.016194;male
i114;0.12348;0.023256;male
i115;0.191932;0.018713;male
i116;0.140297;0.016684;male
i117;0.13539;0.01581;male
i118;0.079584;0.02;male
i119;0.133095;0.02;male
i120;0.14364;0.017957;male
i121;0.131467;0.016343;male
i122;0.118804;0.016293;male
i123;0.140626;0.0199;male
i124;0.15001;0.018454;male
i125;0.143886;0.016327;male
i126;0.134142;0.015889;male
i127;0.129611;0.016178;male
i128;0.153347;0.016227;male
i129;0.123841;0.016327;male
i130;0.133925;0.015968;male
i131;0.087128;0.01867;male
i132;0.074544;0.02213;male
i133;0.079563;0.027027;male
i134;0.093174;0.023916;male
i135;0.080257;0.031683;male
i136;0.150244;0.018913;male
i137;0.146767;0.018692;male
i138;0.144096;0.01898;male
i139;0.11617;0.021248;male
i140;0.138689;0.01631;male
i141;0.138339;0.019277;male
i142;0.135663;0.018244;male
i143;0.151207;0.015984;male
i144;0.145132;0.017857;male
i145;0.140781;0.015748;male
i146;0.124786;0.015764;male
i147;0.153892;0.016512;male
i148;0.172614;0.015702;male
i149;0.13185;0.017204;male
i150;0.177591;0.016097;male
i151;0.173892;0.016649;male
i152;0.172207;0.015826;male
i153;0.181713;0.016048;male
i154;0.172216;0.01898;male
i155;0.166297;0.016194;male
i156;0.14238;0.015826;male
i157;0.141223;0.016277;male
i158;0.124098;0.01636;male
i159;0.133619;0.016563;male
i160;0.147471;0.016113;male
i161;0.117209;0.016377;male
i162;0.138347;0.016244;male
i163;0.125693;0.016277;male
i164;0.144337;0.016327;male
i165;0.140584;0.015905;male
i166;0.114242;0.034707;male
i167;0.12173;0.017167;male
i168;0.156755;0.02;male
i169;0.149238;0.019851;male
i170;0.162786;0.024096;male
i171;0.156416;0.01726;male
i172;0.137207;0.017354;male
i173;0.12912;0.01812;male
i174;0.114935;0.018497;male
i175;0.123538;0.015702;male
i176;0.100791;0.016277;male
i177;0.10657;0.016667;male
i178;0.109746;0.017335;male
i179;0.119412;0.021769;male
i180;0.095547;0.015733;male
i181;0.10425;0.039604;male
i182;0.114506;0.018391;male
i183;0.107974;0.021563;male
i184;0.101042;0.016064;male
i185;0.125046;0.01631;male
i186;0.115596;0.016842;male
i187;0.122182;0.016178;male
i188;0.127467;0.020434;male
i189;0.149067;0.017094;male
i190;0.129613;0.033058;male
i191;0.116197;0.015671;male
i192;0.122561;0.016807;male
i193;0.107933;0.015764;male
i194;0.14204;0.016016;male
i195;0.104071;0.025478;male
i196;0.120884;0.016064;male
i197;0.106442;0.021651;male
i198;0.121867;0.015702;male
i199;0.111914;0.018626;male
i200;0.113681;0.025316;male
i201;0.129298;0.016016;male
i202;0.105984;0.017241;male
i203;0.111702;0.017204;male
i204;0.125413;0.015952;male
i205;0.106811;0.018038;male
i206;0.100583;0.017602;male
i207;0.116514;0.019536;male
i208;0.101368;0.01592;male
i209;0.129719;0.017167;male
i210;0.092748;0.016546;male
i211;0.132811;0.016194;male
i212;0.126941;0.051118;male
i213;0.099337;0.022504;male
i214;0.095883;0.017857;male
i215;0.105049;0.018038;male
i216;0.1104;0.016512;male
i217;0.103158;0.018957;male
i218;0.106244;0.020305;male
i219;0.109268;0.024615;male
i220;0.109191;0.015779;male
i221;0.10954;0.032193;male
i222;0.105694;0.018519;male
i223;0.100997;0.03653;male
i224;0.114241;0.021108;male
i225;0.107023;0.017149;male
i226;0.106244;0.015779;male
i227;0.092851;0.018018;male
i228;0.154611;0.016529;male
i229;0.149539;0.019254;male
i230;0.11887;0.015857;male
i231;0.132135;0.01741;male
i232;0.119117;0.016546;male
i233;0.116283;0.028319;male
i234;0.161339;0.019925;male
i235;0.142919;0.017738;male
i236;0.118901;0.017486;male
i237;0.136268;0.015764;male
i238;0.149966;0.016194;male
i239;0.145331;0.01592;male
i240;0.133394;0.016667;male
i241;0.149594;0.017877;male
i242;0.164093;0.015686;male
i243;0.140223;0.015889;male
i244;0.115886;0.016771;male
i245;0.126083;0.017505;male
i246;0.099754;0.022695;male
i247;0.184731;0.016842;male
i248;0.167531;0.01686;male
i249;0.130122;0.016427;male
i250;0.183235;0.016327;male
i251;0.169601;0.0193;male
i252;0.14349;0.016546;male
i253;0.15493;0.016293;male
i254;0.125523;0.019536;male
i255;0.144075;0.020915;male
i256;0.18619;0.016097;male
i257;0.034809;0.031873;male
i258;0.03383;0.025765;male
i259;0.036766;0.01564;male
i260;0.048823;0.018497;male
i261;0.023859;0.054983;male
i262;0.021841;0.045326;male
i263;0.031748;0.016546;male
i264;0.035045;0.0193;male
i265;0.027522;0.017877;male
i266;0.036618;0.021828;male
i267;0.104042;0.01889;male
i268;0.11416;0.018059;male
i269;0.108368;0.023599;male
i270;0.107401;0.049231;male
i271;0.108663;0.016461;male
i272;0.116569;0.015857;male
i273;0.110922;0.015952;male
i274;0.104422;0.015795;male
i275;0.103116;0.016842;male
i276;0.119369;0.030246;male
i277;0.12049;0.025;male
i278;0.117126;0.018223;male
i279;0.115333;0.03125;male
i280;0.118575;0.016293;male
i281;0.120473;0.03125;male
i282;0.112358;0.020592;male
i283;0.122578;0.017758;male
i284;0.118969;0.04336;male
i285;0.119404;0.026059;male
i286;0.116377;0.015842;male
i287;0.114402;0.020619;male
i288;0.094706;0.018223;male
i289;0.100789;0.017563;male
i290;0.107968;0.016145;male
i291;0.136663;0.016194;male
i292;0.05004;0.016719;male
i293;0.06758;0.015779;male
i294;0.150543;0.016211;male
i295;0.115678;0.017112;male
i296;0.142966;0.015748;male
i297;0.141531;0.016194;male
i298;0.145166;0.01626;male
i299;0.116283;0.028319;male
i300;0.105826;0.015764;male
i301;0.080337;0.055944;male
i302;0.094307;0.018957;male
i303;0.101949;0.030132;male
i304;0.087642;0.024206;male
i305;0.048162;0.01995;male
i306;0.085039;0.016667;male
i307;0.091356;0.044944;male
i308;0.119335;0.034632;male
i309;0.110029;0.03125;male
i310;0.062272;0.027923;male
i311;0.085415;0.043836;male
i312;0.099967;0.017957;male
i313;0.106705;0.042735;male
i314;0.102246;0.034483;male
i315;0.103346;0.047847;male
i316;0.104267;0.013021;male
i317;0.103063;0.014205;male
i318;0.103136;0.03367;male
i319;0.100825;0.015625;male
i320;0.102785;0.034247;male
i321;0.101508;0.036101;male
i322;0.102209;0.046512;male
i323;0.103431;0.014205;male
i324;0.105797;0.037037;male
i325;0.103587;0.025575;male
i326;0.105026;0.026525;male
i327;0.102788;0.033898;male
i328;0.104453;0.049751;male
i329;0.104168;0.1;male
i330;0.104606;0.019841;male
i331;0.101779;0.084034;male
i332;0.106949;0.05;male
i333;0.104563;0.011161;male
i334;0.106697;0.019531;male
i335;0.107129;0.049751;male
i336;0.107053;0.051546;male
i337;0.105189;0.019531;male
i338;0.104753;0.019531;male
i339;0.105379;0.034247;male
i340;0.103673;0.035088;male
i341;0.102506;0.019531;male
i342;0.102716;0.020161;male
i343;0.103282;0.026042;male
i344;0.103887;0.016639;male
i345;0.106647;0.03268;male
i346;0.103069;0.034014;male
i347;0.105327;0.032051;male
i348;0.104678;0.039063;male
i349;0.101524;0.019531;male
i350;0.103643;0.051546;male
i351;0.101938;0.019531;male
i352;0.103202;0.048544;male
i353;0.10473;0.049751;male
i354;0.108341;0.014205;male
i355;0.106306;0.019531;male
i356;0.113505;0.019254;male
i357;0.113378;0.017003;male
i358;0.116679;0.016478;male
i359;0.116496;0.019254;male
i360;0.115081;0.017917;male
i361;0.114758;0.018868;male
i362;0.113191;0.04507;male
i363;0.16623;0.016227;male
i364;0.12054;0.02735;male
i365;0.131677;0.017563;male
i366;0.160665;0.016667;male
i367;0.127801;0.02122;male
i368;0.156462;0.016667;male
i369;0.143707;0.016277;male
i370;0.150974;0.016563;male
i371;0.117538;0.022956;male
i372;0.115979;0.0401;male
i373;0.111539;0.016615;male
i374;0.112857;0.023426;male
i375;0.116426;0.016563;male
i376;0.110116;0.027972;male
i377;0.119197;0.036782;male
i378;0.108856;0.020434;male
i379;0.115385;0.020101;male
i380;0.113031;0.019704;male
i381;0.100543;0.060606;male
i382;0.121739;0.02406;male
i383;0.118502;0.016377;male
i384;0.096231;0.072398;male
i385;0.110164;0.018779;male
i386;0.105045;0.016824;male
i387;0.143077;0.041885;male
i388;0.116308;0.040712;male
i389;0.123241;0.02329;male
i390;0.117313;0.019208;male
i391;0.110469;0.016048;male
i392;0.101771;0.016615;male
i393;0.114878;0.023392;male
i394;0.11737;0.016967;male
i395;0.095128;0.037123;male
i396;0.106102;0.053872;male
i397;0.104932;0.019778;male
i398;0.105494;0.038005;male
i399;0.100489;0.026578;male
i400;0.110446;0.041995;male
i401;0.125603;0.023188;male
i402;0.10904;0.021277;male
i403;0.103897;0.039702;male
i404;0.110545;0.01995;male
i405;0.118734;0.029197;male
i406;0.118072;0.038278;male
i407;0.115979;0.041344;male
i408;0.100769;0.022409;male
i409;0.109778;0.026101;male
i410;0.123079;0.018713;male
i411;0.098977;0.021305;male
i412;0.098408;0.039409;male
i413;0.093797;0.03252;male
i414;0.113161;0.02213;male
i415;0.106061;0.016048;male
i416;0.105128;0.021108;male
i417;0.106364;0.017544;male
i418;0.103298;0.018626;male
i419;0.108401;0.041026;male
i420;0.113618;0.026273;male
i421;0.124037;0.0199;male
i422;0.115452;0.033613;male
i423;0.116127;0.015968;male
i424;0.107946;0.044077;male
i425;0.121739;0.018161;male
i426;0.103285;0.041237;male
i427;0.110556;0.01837;male
i428;0.106884;0.051948;male
i429;0.112101;0.029466;male
i430;0.103784;0.022663;male
i431;0.118553;0.028777;male
i432;0.115294;0.023704;male
i433;0.111034;0.107383;male
i434;0.119426;0.01636;male
i435;0.106842;0.024768;male
i436;0.154257;0.01854;male
i437;0.112743;0.037383;male
i438;0.108259;0.03912;male
i439;0.112574;0.045198;male
i440;0.094572;0.034934;male
i441;0.123338;0.01608;male
i442;0.117394;0.01837;male
i443;0.098226;0.042895;male
i444;0.125956;0.017917;male
i445;0.101379;0.062745;male
i446;0.113301;0.027875;male
i447;0.114146;0.016048;male
i448;0.100339;0.04;male
i449;0.101303;0.020539;male
i450;0.088732;0.015826;male
i451;0.096923;0.057971;male
i452;0.113878;0.035011;male
i453;0.116837;0.054608;male
i454;0.142878;0.016343;male
i455;0.037366;0.016048;male
i456;0.109598;0.026622;male
i457;0.091977;0.016824;male
i458;0.11187;0.016032;male
i459;0.109652;0.020672;male
i460;0.113401;0.015702;male
i461;0.099022;0.015842;male
i462;0.113005;0.017998;male
i463;0.11642;0.01564;male
i464;0.099036;0.015795;male
i465;0.107566;0.015702;male
i466;0.089123;0.015702;male
i467;0.079762;0.019277;male
i468;0.062357;0.016393;male
i469;0.082985;0.016048;male
i470;0.087022;0.020645;male
i471;0.091832;0.021419;male
i472;0.084777;0.018223;male
i473;0.08545;0.029466;male
i474;0.088405;0.043716;male
i475;0.072438;0.062992;male
i476;0.084826;0.019254;male
i477;0.118794;0.018757;male
i478;0.117667;0.02346;male
i479;0.127743;0.03125;male
i480;0.127291;0.030075;male
i481;0.129761;0.017372;male
i482;0.113068;0.020025;male
i483;0.114682;0.016162;male
i484;0.099816;0.015733;male
i485;0.118937;0.018079;male
i486;0.177788;0.01636;male
i487;0.142567;0.018801;male
i488;0.132768;0.017112;male
i489;0.127298;0.022631;male
i490;0.128468;0.024845;male
i491;0.131996;0.015857;male
i492;0.123783;0.031936;male
i493;0.12173;0.01592;male
i494;0.158676;0.019093;male
i495;0.076188;0.025;male
i496;0.074329;0.05694;male
i497;0.062871;0.025397;male
i498;0.067295;0.017204;male
i499;0.097411;0.024353;male
i500;0.150557;0.017039;male
i501;0.092444;0.020487;male
i502;0.069812;0.0181;male
i503;0.070775;0.020228;male
i504;0.093778;0.016913;male
i505;0.187074;0.015905;male
i506;0.12059;0.018583;male
i507;0.117023;0.017699;male
i508;0.114785;0.016967;male
i509;0.171119;0.017738;male
i510;0.149927;0.039216;male
i511;0.127404;0.018735;male
i512;0.093976;0.021798;male
i513;0.137309;0.01854;male
i514;0.125843;0.01592;male
i515;0.106433;0.030246;male
i516;0.1149;0.017354;male
i517;0.113281;0.026846;male
i518;0.108961;0.016343;male
i519;0.104956;0.015857;male
i520;0.111688;0.01741;male
i521;0.110114;0.021277;male
i522;0.11514;0.015857;male
i523;0.133158;0.01741;male
i524;0.162548;0.016649;male
i525;0.142054;0.022727;male
i526;0.169839;0.015671;male
i527;0.162829;0.017391;male
i528;0.141214;0.018307;male
i529;0.173473;0.025;male
i530;0.100166;0.05;male
i531;0.078596;0.015656;male
i532;0.119451;0.025;male
i533;0.100259;0.019208;male
i534;0.114918;0.01581;male
i535;0.099443;0.02289;male
i536;0.056032;0.015764;male
i537;0.073236;0.017354;male
i538;0.160889;0.015779;male
i539;0.140081;0.015936;male
i540;0.180797;0.017039;male
i541;0.123378;0.015984;male
i542;0.196168;0.017186;male
i543;0.134645;0.015779;male
i544;0.126801;0.016546;male
i545;0.13821;0.015656;male
i546;0.162115;0.016;male
i547;0.138363;0.01626;male
i548;0.127154;0.01564;male
i549;0.130295;0.015748;male
i550;0.105845;0.016113;male
i551;0.114235;0.016667;male
i552;0.117427;0.016427;male
i553;0.114102;0.016129;male
i554;0.134043;0.01956;male
i555;0.1197;0.020539;male
i556;0.116072;0.016598;male
i557;0.107706;0.017448;male
i558;0.148063;0.017316;male
i559;0.124611;0.015671;male
i560;0.117105;0.015842;male
i561;0.11133;0.017448;male
i562;0.12476;0.016343;male
i563;0.127537;0.034483;male
i564;0.115645;0.015889;male
i565;0.117871;0.017094;male
i566;0.131345;0.015842;male
i567;0.104593;0.017957;male
i568;0.104354;0.017877;male
i569;0.121072;0.016129;male
i570;0.149023;0.017003;male
i571;0.175939;0.01768;male
i572;0.145683;0.027539;male
i573;0.177605;0.015717;male
i574;0.134815;0.02852;male
i575;0.158992;0.016;male
i576;0.122783;0.019465;male
i577;0.142247;0.017699;male
i578;0.141757;0.019231;male
i579;0.152596;0.022346;male
i580;0.179369;0.017719;male
i581;0.120686;0.033473;male
i582;0.127056;0.016967;male
i583;0.115617;0.016824;male
i584;0.124273;0.016824;male
i585;0.12304;0.045198;male
i586;0.128874;0.053333;male
i587;0.127065;0.017857;male
i588;0.115507;0.018328;male
i589;0.147884;0.020487;male
i590;0.107096;0.019417;male
i591;0.099364;0.016327;male
i592;0.131863;0.016615;male
i593;0.048941;0.025806;male
i594;0.094747;0.020833;male
i595;0.118494;0.015656;male
i596;0.0974;0.018519;male
i597;0.090664;0.016097;male
i598;0.102676;0.021164;male
i599;0.095019;0.015779;male
i600;0.075932;0.022284;male
i601;0.101835;0.018433;male
i602;0.085846;0.023358;male
i603;0.093402;0.017094;male
i604;0.101034;0.016244;male
i605;0.10376;0.020997;male
i606;0.117438;0.020279;male
i607;0.120037;0.017837;male
i608;0.10737;0.016949;male
i609;0.114201;0.033333;male
i610;0.147541;0.038835;male
i611;0.124238;0.021948;male
i612;0.163987;0.039216;male
i613;0.126349;0.027875;male
i614;0.113582;0.019394;male
i615;0.110968;0.015889;male
i616;0.128201;0.029144;male
i617;0.126526;0.017429;male
i618;0.114662;0.066116;male
i619;0.145478;0.019394;male
i620;0.117403;0.015795;male
i621;0.115969;0.032258;male
i622;0.125622;0.022567;male
i623;0.106834;0.026534;male
i624;0.154241;0.020592;male
i625;0.121871;0.038186;male
i626;0.111008;0.018692;male
i627;0.127321;0.025316;male
i628;0.101728;0.033755;male
i629;0.138265;0.030361;male
i630;0.132957;0.028725;male
i631;0.124686;0.020806;male
i632;0.116969;0.037915;male
i633;0.115895;0.018583;male
i634;0.152575;0.017204;male
i635;0.111762;0.029358;male
i636;0.101065;0.015702;male
i637;0.143275;0.015936;male
i638;0.138168;0.01658;male
i639;0.131114;0.060606;male
i640;0.106087;0.017429;male
i641;0.123483;0.017857;male
i642;0.114191;0.053872;male
i643;0.150218;0.02108;male
i644;0.136824;0.019827;male
i645;0.130505;0.016529;male
i646;0.138043;0.017241;male
i647;0.083224;0.027073;male
i648;0.055106;0.027165;male
i649;0.126082;0.016807;male
i650;0.084208;0.016701;male
i651;0.092141;0.01837;male
i652;0.116222;0.016145;male
i653;0.121182;0.01658;male
i654;0.134568;0.017563;male
i655;0.155784;0.022099;male
i656;0.119428;0.024615;male
i657;0.111525;0.015656;male
i658;0.110636;0.02;male
i659;0.16766;0.023392;male
i660;0.115572;0.024806;male
i661;0.121013;0.021362;male
i662;0.091554;0.01592;male
i663;0.109975;0.017719;male
i664;0.100472;0.016162;male
i665;0.114506;0.016701;male
i666;0.071489;0.030593;male
i667;0.097367;0.024316;male
i668;0.083452;0.016649;male
i669;0.089589;0.016563;male
i670;0.090615;0.019753;male
i671;0.08821;0.017937;male
i672;0.099155;0.040486;male
i673;0.105712;0.03876;male
i674;0.100266;0.040816;male
i675;0.099642;0.06993;male
i676;0.098384;0.04878;male
i677;0.105727;0.019531;male
i678;0.098034;0.050505;male
i679;0.10526;0.089286;male
i680;0.099654;0.039841;male
i681;0.098721;0.042735;male
i682;0.098034;0.020619;male
i683;0.101047;0.023641;male
i684;0.099896;0.073529;male
i685;0.10311;0.036232;male
i686;0.097967;0.022321;male
i687;0.106125;0.038911;male
i688;0.098227;0.040323;male
i689;0.100208;0.089286;male
i690;0.100645;0.034602;male
i691;0.097213;0.046512;male
i692;0.100598;0.024331;male
i693;0.108084;0.011161;male
i694;0.101798;0.04902;male
i695;0.100962;0.028249;male
i696;0.100255;0.024631;male
i697;0.113245;0.01368;male
i698;0.098589;0.039526;male
i699;0.110606;0.050761;male
i700;0.096662;0.037175;male
i701;0.101511;0.045872;male
i702;0.102177;0.04902;male
i703;0.102074;0.02079;male
i704;0.101593;0.053763;male
i705;0.103123;0.017036;male
i706;0.098732;0.090909;male
i707;0.106992;0.020619;male
i708;0.097632;0.056497;male
i709;0.101405;0.035461;male
i710;0.099154;0.035971;male
i711;0.107314;0.046948;male
i712;0.099674;0.084746;male
i713;0.10188;0.012121;male
i714;0.099087;0.08547;male
i715;0.103892;0.045662;male
i716;0.09808;0.088496;male
i717;0.101387;0.075188;male
i718;0.095957;0.021552;male
i719;0.098903;0.091743;male
i720;0.101767;0.020877;male
i721;0.105643;0.040816;male
i722;0.098092;0.048077;male
i723;0.097954;0.038911;male
i724;0.09675;0.027211;male
i725;0.103362;0.016377;male
i726;0.10886;0.026534;male
i727;0.104935;0.017602;male
i728;0.109185;0.021419;male
i729;0.102506;0.023529;male
i730;0.104129;0.015671;male
i731;0.117344;0.027211;male
i732;0.107609;0.017448;male
i733;0.098406;0.017021;male
i734;0.098304;0.022989;male
i735;0.109435;0.018735;male
i736;0.106505;0.018433;male
i737;0.107895;0.034707;male
i738;0.099528;0.018868;male
i739;0.097971;0.016113;male
i740;0.098701;0.015764;male
i741;0.101347;0.018519;male
i742;0.101161;0.016719;male
i743;0.103176;0.015779;male
i744;0.103688;0.016736;male
i745;0.098776;0.020126;male
i746;0.101369;0.016032;male
i747;0.101061;0.017641;male
i748;0.100896;0.024653;male
i749;0.103438;0.018286;male
i750;0.101429;0.01608;male
i751;0.097365;0.017505;male
i752;0.101524;0.015842;male
i753;0.101687;0.026891;male
i754;0.099964;0.029412;male
i755;0.105976;0.015748;male
i756;0.108517;0.018141;male
i757;0.104689;0.026981;male
i758;0.096986;0.017241;male
i759;0.103713;0.016913;male
i760;0.104683;0.018846;male
i761;0.101818;0.035874;male
i762;0.108712;0.022284;male
i763;0.108581;0.018801;male
i764;0.10554;0.018605;male
i765;0.099226;0.016377;male
i766;0.096287;0.016754;male
i767;0.100017;0.018349;male
i768;0.100853;0.017448;male
i769;0.099823;0.023634;male
i770;0.103433;0.01898;male
i771;0.107032;0.016113;male
i772;0.099115;0.017957;male
i773;0.102551;0.020177;male
i774;0.106222;0.016129;male
i775;0.110943;0.077295;male
i776;0.103806;0.020806;male
i777;0.108727;0.016736;male
i778;0.109777;0.015984;male
i779;0.102229;0.016343;male
i780;0.097454;0.018433;male
i781;0.102;0.016754;male
i782;0.097661;0.038835;male
i783;0.117097;0.016615;male
i784;0.1018;0.015748;male
i785;0.095435;0.04611;male
i786;0.105033;0.022346;male
i787;0.103983;0.017719;male
i788;0.099514;0.017857;male
i789;0.106337;0.018161;male
i790;0.101535;0.019925;male
i791;0.098083;0.016495;male
i792;0.100669;0.019925;male
i793;0.099671;0.016495;male
i794;0.101243;0.016789;male
i795;0.113366;0.023529;male
i796;0.108438;0.015842;male
i797;0.096459;0.017467;male
i798;0.113497;0.01626;male
i799;0.105;0.026846;male
i800;0.106372;0.01837;male
i801;0.106693;0.022727;male
i802;0.095379;0.018412;male
i803;0.104681;0.030888;male
i804;0.095702;0.017877;male
i805;0.108101;0.015717;male
i806;0.099365;0.015952;male
i807;0.105415;0.017798;male
i808;0.071579;0.047013;male
i809;0.092331;0.051064;male
i810;0.082605;0.047572;male
i811;0.10736;0.047198;male
i812;0.105701;0.047572;male
i813;0.076194;0.047105;male
i814;0.102366;0.04913;male
i815;0.096344;0.047384;male
i816;0.101211;0.047013;male
i817;0.083509;0.047666;male
i818;0.102215;0.046921;male
i819;0.079671;0.047013;male
i820;0.119846;0.047431;male
i821;0.110436;0.046967;male
i822;0.09069;0.047105;male
i823;0.09694;0.047666;male
i824;0.067765;0.046967;male
i825;0.096133;0.047151;male
i826;0.077552;0.047761;male
i827;0.086459;0.047337;male
i828;0.095495;0.047198;male
i829;0.087297;0.048096;male
i830;0.113501;0.047013;male
i831;0.099209;0.050686;male
i832;0.088554;0.047244;male
i833;0.108808;0.047105;male
i834;0.110538;0.047059;male
i835;0.082113;0.047105;male
i836;0.102421;0.047856;male
i837;0.114052;0.04829;male
i838;0.084113;0.047291;male
i839;0.104712;0.047384;male
i840;0.068174;0.049332;male
i841;0.104342;0.046967;male
